Sample,Cami,Heidi,Urza,Lily,Fritzy,Anda_Vito,ThorA,Anda,Vito,Charlie
sample_1,0.00032198989756696385,0.9925843234191851,8.32570144034635e-05,0.1750390015600624,0.0026803902648225584,0.0008788048254374051,8.390493570784301e-05,0.7832401124329236,0.0025582457743261763,0.000284401662655874
sample_2,0.0028336443430783055,0.4013761467889908,0.016338028169014085,0.2074235807860262,0.010375099760574621,0.000547945205479452,0.007497044733403845,0.8009830377794911,0.5114206128133705,0.00043750911477322444
sample_3,0.005815644082582146,0.21923937360178972,0.10972568578553615,0.2524271844660194,0.07167235494880546,0.004454342984409799,0.012980992118683357,0.8012643224022126,0.5647321428571429,0.0005892751915144372
sample_4,0.003663003663003663,0.39705882352941174,0.09693877551020408,0.21153846153846154,0.1282051282051282,0.0,0.0041863851474335636,0.8024158757549612,0.34065934065934067,0.0
sample_5,0.002136181575433912,0.523696682464455,0.025974025974025976,0.15447154471544716,0.06962025316455696,0.0,0.010814249363867684,0.7873831775700935,0.36971046770601335,0.0
sample_6,0.005428460643660334,0.40189873417721517,0.0032679738562091504,0.25,0.38565022421524664,0.006060606060606061,0.00292146416910122,0.7800212539851222,0.12323943661971831,0.0
sample_7,0.0,0.625,0.0,0.6666666666666666,0.14285714285714285,0.0,0.0,0.9047619047619048,0.16666666666666666,0.0
sample_8,0.004860976083997667,0.28500823723228996,0.3269513991163476,0.16666666666666666,0.02968036529680365,0.001445086705202312,0.009434834890389418,0.7934221255776026,0.3519736842105263,0.0011645962732919255
sample_9,0.004634994206257242,0.4585987261146497,0.07668711656441718,0.13043478260869565,0.12149532710280374,0.0,0.006287726358148894,0.773471615720524,0.22429906542056074,0.0032653061224489797
sample_10,0.003036996134732192,0.6571428571428571,0.02810304449648712,0.1794871794871795,0.020833333333333332,0.0,0.0076576576576576575,0.7660531697341514,0.2827102803738318,0.0011997600479904018
sample_11,0.0007861635220125787,0.460431654676259,0.0661764705882353,0.2,0.14563106796116504,0.0,0.007827788649706457,0.793778801843318,0.3825503355704698,0.0018248175182481751
sample_12,0.004307250538406317,0.6210191082802548,0.01892744479495268,0.23255813953488372,0.21621621621621623,0.0,0.0004985044865403788,0.7746100053792362,0.1488673139158576,0.0
sample_13,0.007532956685499058,0.20967741935483872,0.08571428571428572,0.125,0.5833333333333334,0.0,0.006284367635506678,0.7544303797468355,0.1774193548387097,0.0035587188612099642
sample_14,0.0030360531309297912,0.38162544169611307,0.015060240963855422,0.32432432432432434,0.3783783783783784,0.002770083102493075,0.001688969728465636,0.7606299212598425,0.10367892976588629,0.000847457627118644
sample_15,0.0057000356252226575,0.21712538226299694,0.017366136034732273,0.25925925925925924,0.6119096509240246,0.002403846153846154,0.002695002695002695,0.730356271351879,0.16688741721854305,0.0
