Sample,ACwoL/all_env_ACwoL.Vito,ACwoL/all_env_ACwoL.Heidi,ACwoL/all_env_ACwoL.Urza,ACwoL/all_env_ACwoL.Fritzy,ACwoL/all_env_ACwoL.Charlie,ACwoL/all_env_ACwoL.Anda,ACwoL/all_env_ACwoL.Cami
sample_1,0.0025582457743261763,0.9925843234191851,8.32570144034635e-05,0.0026803902648225584,0.000284401662655874,0.0008788048254374051,0.0002882291643571381
sample_2,0.5114206128133705,0.4013761467889908,0.016338028169014085,0.010375099760574621,0.00043750911477322444,0.000547945205479452,0.0006149116064565719
sample_3,0.5647321428571429,0.21923937360178972,0.10972568578553615,0.07167235494880546,0.0005892751915144372,0.004454342984409799,0.0039011703511053317
sample_4,0.34065934065934067,0.39705882352941174,0.09693877551020408,0.1282051282051282,0.0,0.0,0.001375515818431912
sample_5,0.36971046770601335,0.523696682464455,0.025974025974025976,0.06962025316455696,0.0,0.0,0.0005633802816901409
sample_6,0.12323943661971831,0.40189873417721517,0.0032679738562091504,0.38565022421524664,0.0,0.006060606060606061,0.005342831700801425
sample_7,,,,,0.0,,0.0
sample_8,0.3519736842105263,0.28500823723228996,0.3269513991163476,0.02968036529680365,0.0011645962732919255,0.001445086705202312,0.0008481764206955047
sample_9,0.22429906542056074,0.4585987261146497,0.07668711656441718,0.12149532710280374,0.0032653061224489797,0.0,0.0008271298593879239
sample_10,0.2827102803738318,0.6571428571428571,0.02810304449648712,0.020833333333333332,0.0011997600479904018,0.0,0.00110803324099723
sample_11,0.3825503355704698,0.460431654676259,0.0661764705882353,0.14563106796116504,0.0018248175182481751,0.0,0.0
sample_12,0.1488673139158576,0.6210191082802548,0.01892744479495268,0.21621621621621623,0.0,0.0,0.0014970059880239522
sample_13,0.1774193548387097,0.20967741935483872,0.08571428571428572,0.5833333333333334,0.0035587188612099642,0.0,0.00425531914893617
sample_14,0.10367892976588629,0.38162544169611307,0.015060240963855422,0.3783783783783784,0.000847457627118644,0.002770083102493075,0.0025
sample_15,0.16688741721854305,0.21712538226299694,0.017366136034732273,0.6119096509240246,0.0,0.002403846153846154,0.0038109756097560975
sample_16,0.16279069767441862,0.18181818181818182,0.045454545454545456,0.35,0.0,0.0,0.0
sample_17,0.1590909090909091,0.2116279069767442,0.008908685968819599,0.6666666666666666,0.0,0.0,0.002201430930104568
sample_18,,0.2727272727272727,,,0.0,,0.0
sample_19,0.1509433962264151,0.21348314606741572,0.11538461538461539,0.546875,0.0,0.0,0.004901960784313725
sample_21,0.2,0.11764705882352941,0.0,0.4,0.0,0.0,0.0
sample_22,0.06638418079096045,0.136431784107946,0.006069802731411229,0.7987152034261242,0.0007209805335255948,0.006729475100942127,0.0004106776180698152
sample_23,0.09259259259259259,0.09970384995064166,0.006263048016701462,0.7760989010989011,0.0005031446540880503,0.0057692307692307696,0.0011061946902654867
sample_24,0.08166969147005444,0.03682170542635659,0.011406844106463879,0.8923076923076924,0.00042052144659377626,0.0016366612111292963,0.0005060728744939271
sample_25,,0.08333333333333333,,,0.0196078431372549,,0.0
sample_26,0.13829787234042554,0.5,0.012048192771084338,0.38,0.002551020408163265,0.010101010101010102,0.0032679738562091504
sample_27,0.2236842105263158,0.30405405405405406,0.011560693641618497,0.4946236559139785,0.0,0.005376344086021506,0.003787878787878788
sample_28,0.10695187165775401,0.1400560224089636,0.006993006993006993,0.7574671445639187,0.00021687269572760788,0.0014914243102162564,0.001401541695865452
sample_29,0.11764705882352941,0.8333333333333334,0.0,0.0,0.0,0.0,0.014492753623188406
sample_33,,,,,0.16666666666666666,,0.09090909090909091
sample_36,0.001288659793814433,0.0,0.0,0.0,0.0008532423208191126,0.9832810867293625,0.0006426735218508997
sample_37,0.0006184291898577613,0.0,0.0,0.0008291873963515755,0.00028876696505919725,0.9722076560041951,0.0015413070283600493
sample_38,0.0,0.0,0.0,0.0,0.0,0.9818181818181818,0.0
sample_40,0.0006006006006006006,0.0,0.0005980861244019139,0.0026362038664323375,0.0005813108559802354,0.9764397905759162,0.0001597444089456869
sample_41,0.0011273957158962795,0.0012121212121212121,0.0,0.0,0.00026041666666666666,0.9789184234647113,0.0005535566011624688
sample_42,0.0014705882352941176,0.0,0.0,0.002652519893899204,0.00038182512409316535,0.9714285714285714,0.00042069835927639884
sample_44,0.004032258064516129,0.0,0.0,0.0,0.0022497187851518562,0.957345971563981,0.0009551098376313276
sample_47,0.0,0.0,0.0,0.0,0.0,0.950354609929078,0.015350877192982455
sample_49,0.0,0.0,0.0,0.0,0.0,0.9310344827586207,0.021052631578947368
sample_52,,,,,0.3333333333333333,,0.0
sample_54,,,,,,,0.0
sample_56,,,,,0.14285714285714285,,
sample_57,0.0,0.0,0.0,,0.0,1.0,0.0
sample_59,0.0,0.0,0.0,0.07142857142857142,0.07207207207207207,0.9583333333333334,0.011764705882352941
sample_60,,,,,,0.9090909090909091,0.0
sample_61,,,,,0.0,1.0,0.03333333333333333
sample_63,,,,,,,0.0
sample_65,,,,,0.037037037037037035,,0.0
