Filename,SequenceCount
s_all_Anda_S8_default_canFam6.bam,84360683
s_all_Cami_S9_default_canFam6.bam,57953355
s_all_Charlie_S10_default_canFam6.bam,51321460
s_all_Fritzy_S3_default_canFam6.bam,46811148
s_all_Heidi_S4_default_canFam6.bam,80808843
s_all_Lily_S2_default_canFam6.bam,45158651
s_all_ThorA_S1_default_canFam6.bam,55602288
s_all_ThorB_S7_default_canFam6.bam,85084876
s_all_Undetermined_S0_tagged_default_canFam6.bam,143335434
s_all_Urza_S6_default_canFam6.bam,44615420
s_all_Vito_S5_default_canFam6.bam,56298001
