#file	low_coverage	low_support	low_coverage(anno)	low_support(anno)
sample_10.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	2239	19	0	0
sample_11.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	5948	17	0	0
sample_12.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	2222	16	0	0
sample_13.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	8742	6	0	0
sample_14.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	3390	17	0	0
sample_15.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	1252	18	0	0
sample_16.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	10567	4	0	0
sample_17.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	1919	17	0	0
sample_18.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	16411	0	0	0
sample_19.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	7586	11	0	0
sample_1.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	596	0	0	0
sample_20.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	16727	0	0	0
sample_21.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	12961	3	0	0
sample_22.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	1094	8	0	0
sample_23.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	1084	7	0	0
sample_24.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	1535	0	0	0
sample_25.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	16097	0	0	0
sample_26.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	7763	19	0	0
sample_27.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	5105	14	0	0
sample_28.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	1036	13	0	0
sample_29.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	14680	0	0	0
sample_2.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	947	24	0	0
sample_30.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	16727	0	0	0
sample_31.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	16727	0	0	0
sample_32.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	16727	0	0	0
sample_33.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	16727	0	0	0
sample_34.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	16727	0	0	0
sample_35.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	16727	0	0	0
sample_36.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	1068	6	0	0
sample_37.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	878	3	0	0
sample_38.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	10124	1	0	0
sample_3.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	1901	21	0	0
sample_40.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	888	7	0	0
sample_41.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	1157	4	0	0
sample_42.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	1312	5	0	0
sample_44.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	2907	1	0	0
sample_46.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	16727	0	0	0
sample_47.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	7714	6	0	0
sample_48.Canidae.Canis_lupus_familiaris_deduped_bedfiltered	16727	0	0	0
