sample_id	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	FamilyKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)
negative_sample_gr1	27216	25499	25424	1045	0.01468	102	f	1072	Primates	Hominidae	Homo_sapiens	fixed	1061	0.9897	8	132.625	1436	-	-	100	-	0	0	0.0 (0.0,97.5)	0.0 (0.0,70.8)	N/A (N/A,N/A)	N/A (N/A,N/A)
negative_sample_gr1	27216	25499	25424	140	0.0005313	22.9	f	235	Carnivora	Mustelidae	Ictonyx_striatus	best	0	0	0	0	0	0	0	-	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)
negative_sample_gr2	9410	7485	4285	290	0.004074	5.19	f	21	Primates	Hominidae	Homo_sapiens	fixed	19	0.9047	3	6.3333	442	-	-	100	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)
negative_sample_gr3	83	55	11	-	-	-	f	-	-	-	-	best	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
negative_sample_gr4	20432	14945	14686	334	0.004692	181	f	637	Primates	Hominidae	Homo_sapiens	fixed	636	0.9984	3	212	551	-	-	100	-	0	0	N/A (N/A,N/A)	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)
sample_1	247471	222964	222800	10387	0.1459	4.74	f	473	Primates	Hominidae	Homo_sapiens	fixed	455	0.9619	409	1.1124	15658	-	-	0.39	-	2	4	2.2 (0.3,7.8)	0.0 (0.0,3.3)	N/A (N/A,N/A)	0.0 (0.0,84.2)
sample_1	247471	222964	222800	1154	0.004379	4.2	f	599	Carnivora	Mustelidae	Mustela_kathiah	best	1	0.0016	1	1	56	0	0	-	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)
sample_1	247471	222964	222800	136	0.002651	2.65	f	29	Carnivora	Eupleridae	Cryptoprocta_ferox	best	0	0	0	0	0	0	0	-	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)
sample_1	247471	222964	222800	140	0.001427	3.77	f	26	Chiroptera	Rhinolophidae	Rhinolophus_macrotis	best	0	0	0	0	0	0	0	-	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)
sample_1	247471	222964	222800	140	0.002001	3.65	f	78	Primates	Lemuridae	Eulemur_rubriventer	best	0	0	0	0	0	0	0	-	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)
sample_1	247471	222964	222800	147	0.0007422	1.62	f	3	Primates	Cheirogaleidae	Microcebus_griseorufus	best	0	0	0	0	0	0	0	-	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)
sample_1	247471	222964	222800	159	0.002371	2.29	f	10	Carnivora	Otariidae	Arctocephalus_townsendi	best	0	0	0	0	0	0	0	-	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)
sample_1	247471	222964	222800	16824	0.1329	637	f	119613	Carnivora	Canidae	Canis_lupus_familiaris	fixed	116914	0.9774	103504	1.1295	16727	-	-	99.58	-	192	557	0.5 (0.4,0.6)	0.3 (0.2,0.4)	0.0 (0.0,19.5)	0.0 (0.0,12.8)
sample_1	247471	222964	222800	172	0.004561	8.49	f	10	Carnivora	Procyonidae	Nasua_nasua	best	0	0	0	0	0	0	0	-	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)
sample_1	247471	222964	222800	186	0.0008126	2.9	f	17	Rodentia	Echimyidae	Proechimys_gardneri	best	0	0	0	0	0	0	0	-	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)
sample_1	247471	222964	222800	203	0.00092	1.68	f	32	Primates	Cebidae	Leontopithecus_rosalia	best	0	0	0	0	0	0	0	-	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)
sample_1	247471	222964	222800	218	0.001388	1.6	f	3	Eulipotyphla	Talpidae	Uropsilus_investigator	best	0	0	0	0	0	0	0	-	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)
sample_1	247471	222964	222800	222	0.001123	1.64	f	6	Artiodactyla	Cervidae	Mazama_nemorivaga	best	0	0	0	0	0	0	0	-	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)
