Chromosome,SequenceCount
chr1,2342833
chr10,1020450
chr11,917036
chr12,767202
chr13,773516
chr14,656259
chr15,789439
chr16,843967
chr17,920353
chr18,827755
chr19,568133
chr2,1269242
chr20,946795
chr21,630460
chr22,670846
chr23,640505
chr24,797988
chr25,708443
chr26,752746
chr27,602185
chr28,697699
chr29,412541
chr3,1441235
chr30,518814
chr31,438858
chr32,636219
chr33,334176
chr34,1041945
chr35,356871
chr36,311061
chr37,456485
chr38,315104
chr4,1119005
chr5,1543321
chr6,3117319
chr7,1147051
chr8,926909
chr9,1153020
chrM,18595
chrUn_NW_023329667v1,0
chrUn_NW_023329668v1,3239
chrUn_NW_023329669v1,2
chrUn_NW_023329670v1,8177
chrUn_NW_023329671v1,0
chrUn_NW_023329672v1,4884
chrUn_NW_023329673v1,74
chrUn_NW_023329674v1,239
chrUn_NW_023329675v1,0
chrUn_NW_023329676v1,0
chrUn_NW_023329677v1,26
chrUn_NW_023329678v1,75
chrUn_NW_023329679v1,4
chrUn_NW_023329680v1,5
chrUn_NW_023329681v1,0
chrUn_NW_023329682v1,1855
chrUn_NW_023329683v1,3423
chrUn_NW_023329684v1,31
chrUn_NW_023329685v1,229
chrUn_NW_023329686v1,246
chrUn_NW_023329687v1,0
chrUn_NW_023329688v1,0
chrUn_NW_023329689v1,9
chrUn_NW_023329690v1,0
chrUn_NW_023329691v1,42
chrUn_NW_023329692v1,20
chrUn_NW_023329693v1,0
chrUn_NW_023329694v1,1935
chrUn_NW_023329695v1,49
chrUn_NW_023329696v1,59
chrUn_NW_023329697v1,1
chrUn_NW_023329698v1,33
chrUn_NW_023329699v1,2049
chrUn_NW_023329700v1,1010
chrUn_NW_023329701v1,33505
chrUn_NW_023329702v1,0
chrUn_NW_023329703v1,1518
chrUn_NW_023329704v1,19
chrUn_NW_023329705v1,0
chrUn_NW_023329706v1,0
chrUn_NW_023329707v1,0
chrUn_NW_023329708v1,29
chrUn_NW_023329709v1,21
chrUn_NW_023329710v1,0
chrUn_NW_023329711v1,141
chrUn_NW_023329712v1,0
chrUn_NW_023329713v1,0
chrUn_NW_023329714v1,1
chrUn_NW_023329715v1,65
chrUn_NW_023329716v1,37
chrUn_NW_023329717v1,0
chrUn_NW_023329718v1,255
chrUn_NW_023329719v1,271
chrUn_NW_023329720v1,2370
chrUn_NW_023329721v1,182
chrUn_NW_023329722v1,0
chrUn_NW_023329723v1,0
chrUn_NW_023329724v1,6
chrUn_NW_023329725v1,0
chrUn_NW_023329726v1,0
chrUn_NW_023329727v1,7709
chrUn_NW_023329728v1,15
chrUn_NW_023329729v1,73
chrUn_NW_023329730v1,0
chrUn_NW_023329731v1,0
chrUn_NW_023329732v1,4
chrUn_NW_023329733v1,0
chrUn_NW_023329734v1,11
chrUn_NW_023329735v1,1727
chrUn_NW_023329736v1,689
chrUn_NW_023329737v1,1615
chrUn_NW_023329738v1,96
chrUn_NW_023329739v1,703
chrUn_NW_023329740v1,0
chrUn_NW_023329741v1,31
chrUn_NW_023329742v1,262
chrUn_NW_023329743v1,0
chrUn_NW_023329744v1,0
chrUn_NW_023329745v1,3
chrUn_NW_023329746v1,106
chrUn_NW_023329747v1,0
chrUn_NW_023329748v1,26
chrUn_NW_023329749v1,219
chrUn_NW_023329750v1,35
chrUn_NW_023329751v1,33
chrUn_NW_023329752v1,42
chrUn_NW_023329753v1,79
chrUn_NW_023329754v1,0
chrUn_NW_023329755v1,4553
chrUn_NW_023329756v1,100
chrUn_NW_023329757v1,275
chrUn_NW_023329758v1,0
chrUn_NW_023329759v1,0
chrUn_NW_023329760v1,677
chrUn_NW_023329761v1,0
chrUn_NW_023329762v1,61
chrUn_NW_023329763v1,0
chrUn_NW_023329764v1,81
chrUn_NW_023329765v1,142
chrUn_NW_023329766v1,1518
chrUn_NW_023329767v1,264
chrUn_NW_023329768v1,540
chrUn_NW_023329769v1,234
chrUn_NW_023329770v1,0
chrUn_NW_023329771v1,328
chrUn_NW_023329772v1,40
chrUn_NW_023329773v1,6683
chrX,811934
*,0
