Filename,SequenceCount
s_all_Anda_S8_default_canFam6_ChrM_MQ25.bam,26832
s_all_Cami_S9_default_canFam6_ChrM_MQ25.bam,11015
s_all_Charlie_S10_default_canFam6_ChrM_MQ25.bam,5786
s_all_Fritzy_S3_default_canFam6_ChrM_MQ25.bam,6140
s_all_Heidi_S4_default_canFam6_ChrM_MQ25.bam,19504
s_all_Lily_S2_default_canFam6_ChrM_MQ25.bam,5244
s_all_ThorA_S1_default_canFam6_ChrM_MQ25.bam,4825
s_all_ThorB_S7_default_canFam6_ChrM_MQ25.bam,14240
s_all_Undetermined_S0_tagged_default_canFam6_ChrM_MQ25.bam,14202
s_all_Urza_S6_default_canFam6_ChrM_MQ25.bam,4861
s_all_Vito_S5_default_canFam6_ChrM_MQ25.bam,14047
