Chromosome,SequenceCount
chr1,2262343
chr10,1079534
chr11,1009148
chr12,875843
chr13,848324
chr14,747864
chr15,868030
chr16,876102
chr17,980023
chr18,874844
chr19,638716
chr2,1340602
chr20,985217
chr21,688855
chr22,776066
chr23,710229
chr24,816849
chr25,760557
chr26,750864
chr27,660423
chr28,718440
chr29,476736
chr3,1536291
chr30,565850
chr31,494943
chr32,681518
chr33,381185
chr34,1059449
chr35,382342
chr36,357065
chr37,487584
chr38,334835
chr4,1221394
chr5,1579499
chr6,2738176
chr7,1218378
chr8,1027168
chr9,1178533
chrM,28342
chrUn_NW_023329667v1,0
chrUn_NW_023329668v1,3673
chrUn_NW_023329669v1,6
chrUn_NW_023329670v1,7764
chrUn_NW_023329671v1,0
chrUn_NW_023329672v1,5017
chrUn_NW_023329673v1,106
chrUn_NW_023329674v1,208
chrUn_NW_023329675v1,0
chrUn_NW_023329676v1,0
chrUn_NW_023329677v1,27
chrUn_NW_023329678v1,69
chrUn_NW_023329679v1,9
chrUn_NW_023329680v1,6
chrUn_NW_023329681v1,9
chrUn_NW_023329682v1,2024
chrUn_NW_023329683v1,3674
chrUn_NW_023329684v1,22
chrUn_NW_023329685v1,168
chrUn_NW_023329686v1,192
chrUn_NW_023329687v1,0
chrUn_NW_023329688v1,0
chrUn_NW_023329689v1,6
chrUn_NW_023329690v1,0
chrUn_NW_023329691v1,46
chrUn_NW_023329692v1,15
chrUn_NW_023329693v1,0
chrUn_NW_023329694v1,1784
chrUn_NW_023329695v1,58
chrUn_NW_023329696v1,27
chrUn_NW_023329697v1,3
chrUn_NW_023329698v1,39
chrUn_NW_023329699v1,2081
chrUn_NW_023329700v1,199
chrUn_NW_023329701v1,31663
chrUn_NW_023329702v1,0
chrUn_NW_023329703v1,1983
chrUn_NW_023329704v1,20
chrUn_NW_023329705v1,0
chrUn_NW_023329706v1,1
chrUn_NW_023329707v1,0
chrUn_NW_023329708v1,42
chrUn_NW_023329709v1,13
chrUn_NW_023329710v1,0
chrUn_NW_023329711v1,95
chrUn_NW_023329712v1,0
chrUn_NW_023329713v1,0
chrUn_NW_023329714v1,2
chrUn_NW_023329715v1,90
chrUn_NW_023329716v1,37
chrUn_NW_023329717v1,0
chrUn_NW_023329718v1,175
chrUn_NW_023329719v1,239
chrUn_NW_023329720v1,2606
chrUn_NW_023329721v1,166
chrUn_NW_023329722v1,0
chrUn_NW_023329723v1,0
chrUn_NW_023329724v1,2
chrUn_NW_023329725v1,0
chrUn_NW_023329726v1,0
chrUn_NW_023329727v1,6714
chrUn_NW_023329728v1,9
chrUn_NW_023329729v1,88
chrUn_NW_023329730v1,0
chrUn_NW_023329731v1,0
chrUn_NW_023329732v1,7
chrUn_NW_023329733v1,0
chrUn_NW_023329734v1,14
chrUn_NW_023329735v1,1843
chrUn_NW_023329736v1,763
chrUn_NW_023329737v1,356
chrUn_NW_023329738v1,106
chrUn_NW_023329739v1,868
chrUn_NW_023329740v1,0
chrUn_NW_023329741v1,28
chrUn_NW_023329742v1,552
chrUn_NW_023329743v1,0
chrUn_NW_023329744v1,0
chrUn_NW_023329745v1,3
chrUn_NW_023329746v1,53
chrUn_NW_023329747v1,1
chrUn_NW_023329748v1,25
chrUn_NW_023329749v1,253
chrUn_NW_023329750v1,72
chrUn_NW_023329751v1,37
chrUn_NW_023329752v1,27
chrUn_NW_023329753v1,61
chrUn_NW_023329754v1,0
chrUn_NW_023329755v1,4544
chrUn_NW_023329756v1,84
chrUn_NW_023329757v1,260
chrUn_NW_023329758v1,0
chrUn_NW_023329759v1,0
chrUn_NW_023329760v1,687
chrUn_NW_023329761v1,5
chrUn_NW_023329762v1,64
chrUn_NW_023329763v1,3
chrUn_NW_023329764v1,71
chrUn_NW_023329765v1,91
chrUn_NW_023329766v1,1362
chrUn_NW_023329767v1,410
chrUn_NW_023329768v1,492
chrUn_NW_023329769v1,213
chrUn_NW_023329770v1,0
chrUn_NW_023329771v1,287
chrUn_NW_023329772v1,50
chrUn_NW_023329773v1,6351
chrX,1583450
*,0
