Chromosome,SequenceCount
chr1,1877116
chr10,808821
chr11,751224
chr12,640809
chr13,627495
chr14,548556
chr15,642703
chr16,666179
chr17,734154
chr18,669442
chr19,471621
chr2,1012048
chr20,744229
chr21,512799
chr22,567457
chr23,525588
chr24,615479
chr25,566462
chr26,577109
chr27,491105
chr28,538759
chr29,351014
chr3,1155994
chr30,417690
chr31,363438
chr32,506660
chr33,279696
chr34,809390
chr35,285446
chr36,261193
chr37,367496
chr38,252411
chr4,907270
chr5,1195887
chr6,2429958
chr7,918114
chr8,757881
chr9,894167
chrM,14528
chrUn_NW_023329667v1,0
chrUn_NW_023329668v1,2609
chrUn_NW_023329669v1,2
chrUn_NW_023329670v1,6481
chrUn_NW_023329671v1,0
chrUn_NW_023329672v1,4172
chrUn_NW_023329673v1,73
chrUn_NW_023329674v1,176
chrUn_NW_023329675v1,0
chrUn_NW_023329676v1,0
chrUn_NW_023329677v1,16
chrUn_NW_023329678v1,53
chrUn_NW_023329679v1,5
chrUn_NW_023329680v1,5
chrUn_NW_023329681v1,16
chrUn_NW_023329682v1,1692
chrUn_NW_023329683v1,3204
chrUn_NW_023329684v1,20
chrUn_NW_023329685v1,160
chrUn_NW_023329686v1,188
chrUn_NW_023329687v1,0
chrUn_NW_023329688v1,0
chrUn_NW_023329689v1,9
chrUn_NW_023329690v1,0
chrUn_NW_023329691v1,43
chrUn_NW_023329692v1,19
chrUn_NW_023329693v1,0
chrUn_NW_023329694v1,989
chrUn_NW_023329695v1,41
chrUn_NW_023329696v1,34
chrUn_NW_023329697v1,9
chrUn_NW_023329698v1,18
chrUn_NW_023329699v1,1636
chrUn_NW_023329700v1,151
chrUn_NW_023329701v1,27023
chrUn_NW_023329702v1,0
chrUn_NW_023329703v1,1258
chrUn_NW_023329704v1,18
chrUn_NW_023329705v1,0
chrUn_NW_023329706v1,0
chrUn_NW_023329707v1,0
chrUn_NW_023329708v1,19
chrUn_NW_023329709v1,9
chrUn_NW_023329710v1,0
chrUn_NW_023329711v1,105
chrUn_NW_023329712v1,0
chrUn_NW_023329713v1,4
chrUn_NW_023329714v1,1
chrUn_NW_023329715v1,44
chrUn_NW_023329716v1,30
chrUn_NW_023329717v1,0
chrUn_NW_023329718v1,121
chrUn_NW_023329719v1,179
chrUn_NW_023329720v1,2009
chrUn_NW_023329721v1,122
chrUn_NW_023329722v1,0
chrUn_NW_023329723v1,0
chrUn_NW_023329724v1,11
chrUn_NW_023329725v1,0
chrUn_NW_023329726v1,0
chrUn_NW_023329727v1,3456
chrUn_NW_023329728v1,6
chrUn_NW_023329729v1,79
chrUn_NW_023329730v1,0
chrUn_NW_023329731v1,0
chrUn_NW_023329732v1,5
chrUn_NW_023329733v1,0
chrUn_NW_023329734v1,7
chrUn_NW_023329735v1,1498
chrUn_NW_023329736v1,571
chrUn_NW_023329737v1,287
chrUn_NW_023329738v1,86
chrUn_NW_023329739v1,745
chrUn_NW_023329740v1,0
chrUn_NW_023329741v1,30
chrUn_NW_023329742v1,443
chrUn_NW_023329743v1,0
chrUn_NW_023329744v1,0
chrUn_NW_023329745v1,4
chrUn_NW_023329746v1,45
chrUn_NW_023329747v1,0
chrUn_NW_023329748v1,26
chrUn_NW_023329749v1,221
chrUn_NW_023329750v1,37
chrUn_NW_023329751v1,21
chrUn_NW_023329752v1,24
chrUn_NW_023329753v1,65
chrUn_NW_023329754v1,0
chrUn_NW_023329755v1,3716
chrUn_NW_023329756v1,90
chrUn_NW_023329757v1,195
chrUn_NW_023329758v1,0
chrUn_NW_023329759v1,0
chrUn_NW_023329760v1,569
chrUn_NW_023329761v1,0
chrUn_NW_023329762v1,43
chrUn_NW_023329763v1,0
chrUn_NW_023329764v1,65
chrUn_NW_023329765v1,87
chrUn_NW_023329766v1,1043
chrUn_NW_023329767v1,301
chrUn_NW_023329768v1,357
chrUn_NW_023329769v1,298
chrUn_NW_023329770v1,0
chrUn_NW_023329771v1,240
chrUn_NW_023329772v1,33
chrUn_NW_023329773v1,5003
chrX,1188619
*,0
