Chromosome,SequenceCount
chr1,2696167
chr10,1148452
chr11,1045563
chr12,863159
chr13,862447
chr14,742117
chr15,880199
chr16,960649
chr17,1036717
chr18,924172
chr19,628277
chr2,1436960
chr20,1055893
chr21,710122
chr22,771200
chr23,729088
chr24,897741
chr25,798440
chr26,847247
chr27,671921
chr28,779561
chr29,464477
chr3,1595819
chr30,585256
chr31,480686
chr32,682525
chr33,378636
chr34,1129493
chr35,412950
chr36,358096
chr37,509610
chr38,354173
chr4,1268245
chr5,1732192
chr6,3457590
chr7,1258353
chr8,1046966
chr9,1247414
chrM,33458
chrUn_NW_023329667v1,0
chrUn_NW_023329668v1,3821
chrUn_NW_023329669v1,5
chrUn_NW_023329670v1,8550
chrUn_NW_023329671v1,0
chrUn_NW_023329672v1,5539
chrUn_NW_023329673v1,79
chrUn_NW_023329674v1,275
chrUn_NW_023329675v1,0
chrUn_NW_023329676v1,0
chrUn_NW_023329677v1,13
chrUn_NW_023329678v1,54
chrUn_NW_023329679v1,16
chrUn_NW_023329680v1,7
chrUn_NW_023329681v1,4
chrUn_NW_023329682v1,2270
chrUn_NW_023329683v1,3339
chrUn_NW_023329684v1,39
chrUn_NW_023329685v1,182
chrUn_NW_023329686v1,212
chrUn_NW_023329687v1,0
chrUn_NW_023329688v1,0
chrUn_NW_023329689v1,6
chrUn_NW_023329690v1,0
chrUn_NW_023329691v1,48
chrUn_NW_023329692v1,13
chrUn_NW_023329693v1,0
chrUn_NW_023329694v1,1371
chrUn_NW_023329695v1,49
chrUn_NW_023329696v1,47
chrUn_NW_023329697v1,3
chrUn_NW_023329698v1,38
chrUn_NW_023329699v1,2532
chrUn_NW_023329700v1,248
chrUn_NW_023329701v1,30150
chrUn_NW_023329702v1,0
chrUn_NW_023329703v1,1777
chrUn_NW_023329704v1,37
chrUn_NW_023329705v1,0
chrUn_NW_023329706v1,0
chrUn_NW_023329707v1,0
chrUn_NW_023329708v1,22
chrUn_NW_023329709v1,18
chrUn_NW_023329710v1,0
chrUn_NW_023329711v1,78
chrUn_NW_023329712v1,0
chrUn_NW_023329713v1,4
chrUn_NW_023329714v1,3
chrUn_NW_023329715v1,55
chrUn_NW_023329716v1,41
chrUn_NW_023329717v1,0
chrUn_NW_023329718v1,257
chrUn_NW_023329719v1,266
chrUn_NW_023329720v1,2859
chrUn_NW_023329721v1,140
chrUn_NW_023329722v1,0
chrUn_NW_023329723v1,0
chrUn_NW_023329724v1,9
chrUn_NW_023329725v1,0
chrUn_NW_023329726v1,0
chrUn_NW_023329727v1,4749
chrUn_NW_023329728v1,13
chrUn_NW_023329729v1,60
chrUn_NW_023329730v1,0
chrUn_NW_023329731v1,1
chrUn_NW_023329732v1,2
chrUn_NW_023329733v1,0
chrUn_NW_023329734v1,16
chrUn_NW_023329735v1,2229
chrUn_NW_023329736v1,810
chrUn_NW_023329737v1,460
chrUn_NW_023329738v1,130
chrUn_NW_023329739v1,1037
chrUn_NW_023329740v1,0
chrUn_NW_023329741v1,27
chrUn_NW_023329742v1,580
chrUn_NW_023329743v1,0
chrUn_NW_023329744v1,0
chrUn_NW_023329745v1,2
chrUn_NW_023329746v1,57
chrUn_NW_023329747v1,0
chrUn_NW_023329748v1,29
chrUn_NW_023329749v1,333
chrUn_NW_023329750v1,30
chrUn_NW_023329751v1,36
chrUn_NW_023329752v1,31
chrUn_NW_023329753v1,44
chrUn_NW_023329754v1,0
chrUn_NW_023329755v1,5022
chrUn_NW_023329756v1,138
chrUn_NW_023329757v1,358
chrUn_NW_023329758v1,0
chrUn_NW_023329759v1,0
chrUn_NW_023329760v1,871
chrUn_NW_023329761v1,0
chrUn_NW_023329762v1,41
chrUn_NW_023329763v1,0
chrUn_NW_023329764v1,103
chrUn_NW_023329765v1,86
chrUn_NW_023329766v1,1789
chrUn_NW_023329767v1,365
chrUn_NW_023329768v1,610
chrUn_NW_023329769v1,116
chrUn_NW_023329770v1,0
chrUn_NW_023329771v1,413
chrUn_NW_023329772v1,78
chrUn_NW_023329773v1,7101
chrX,1618595
*,0
