Chromosome,SequenceCount
chr1,672074
chr10,329551
chr11,319083
chr12,286976
chr13,262486
chr14,240531
chr15,274983
chr16,267683
chr17,297904
chr18,264887
chr19,209754
chr2,408662
chr20,298546
chr21,217162
chr22,249040
chr23,222679
chr24,240093
chr25,232421
chr26,219664
chr27,207792
chr28,208303
chr29,161522
chr3,468806
chr30,176640
chr31,162602
chr32,196371
chr33,123040
chr34,295857
chr35,117016
chr36,115286
chr37,156108
chr38,104812
chr4,376926
chr5,459788
chr6,712776
chr7,377746
chr8,323544
chr9,800876
chrM,5186
chrUn_NW_023329667v1,0
chrUn_NW_023329668v1,952
chrUn_NW_023329669v1,1
chrUn_NW_023329670v1,2598
chrUn_NW_023329671v1,0
chrUn_NW_023329672v1,1529
chrUn_NW_023329673v1,21
chrUn_NW_023329674v1,42
chrUn_NW_023329675v1,0
chrUn_NW_023329676v1,0
chrUn_NW_023329677v1,264
chrUn_NW_023329678v1,14
chrUn_NW_023329679v1,1
chrUn_NW_023329680v1,1
chrUn_NW_023329681v1,9
chrUn_NW_023329682v1,570
chrUn_NW_023329683v1,910
chrUn_NW_023329684v1,5
chrUn_NW_023329685v1,47
chrUn_NW_023329686v1,43
chrUn_NW_023329687v1,0
chrUn_NW_023329688v1,1
chrUn_NW_023329689v1,4
chrUn_NW_023329690v1,0
chrUn_NW_023329691v1,21
chrUn_NW_023329692v1,11
chrUn_NW_023329693v1,0
chrUn_NW_023329694v1,17019
chrUn_NW_023329695v1,35
chrUn_NW_023329696v1,18
chrUn_NW_023329697v1,2
chrUn_NW_023329698v1,6
chrUn_NW_023329699v1,496
chrUn_NW_023329700v1,2305
chrUn_NW_023329701v1,5968
chrUn_NW_023329702v1,0
chrUn_NW_023329703v1,757
chrUn_NW_023329704v1,8
chrUn_NW_023329705v1,0
chrUn_NW_023329706v1,0
chrUn_NW_023329707v1,0
chrUn_NW_023329708v1,8
chrUn_NW_023329709v1,9
chrUn_NW_023329710v1,0
chrUn_NW_023329711v1,16
chrUn_NW_023329712v1,0
chrUn_NW_023329713v1,2
chrUn_NW_023329714v1,3
chrUn_NW_023329715v1,26
chrUn_NW_023329716v1,10
chrUn_NW_023329717v1,0
chrUn_NW_023329718v1,44
chrUn_NW_023329719v1,46
chrUn_NW_023329720v1,725
chrUn_NW_023329721v1,16
chrUn_NW_023329722v1,0
chrUn_NW_023329723v1,0
chrUn_NW_023329724v1,3
chrUn_NW_023329725v1,0
chrUn_NW_023329726v1,0
chrUn_NW_023329727v1,58661
chrUn_NW_023329728v1,4
chrUn_NW_023329729v1,32
chrUn_NW_023329730v1,0
chrUn_NW_023329731v1,23
chrUn_NW_023329732v1,54
chrUn_NW_023329733v1,0
chrUn_NW_023329734v1,27
chrUn_NW_023329735v1,599
chrUn_NW_023329736v1,238
chrUn_NW_023329737v1,3433
chrUn_NW_023329738v1,17
chrUn_NW_023329739v1,224
chrUn_NW_023329740v1,0
chrUn_NW_023329741v1,18
chrUn_NW_023329742v1,226
chrUn_NW_023329743v1,0
chrUn_NW_023329744v1,0
chrUn_NW_023329745v1,0
chrUn_NW_023329746v1,14
chrUn_NW_023329747v1,9
chrUn_NW_023329748v1,12
chrUn_NW_023329749v1,40
chrUn_NW_023329750v1,29
chrUn_NW_023329751v1,12
chrUn_NW_023329752v1,3
chrUn_NW_023329753v1,6
chrUn_NW_023329754v1,0
chrUn_NW_023329755v1,1505
chrUn_NW_023329756v1,16
chrUn_NW_023329757v1,50
chrUn_NW_023329758v1,0
chrUn_NW_023329759v1,0
chrUn_NW_023329760v1,158
chrUn_NW_023329761v1,18
chrUn_NW_023329762v1,10
chrUn_NW_023329763v1,0
chrUn_NW_023329764v1,30
chrUn_NW_023329765v1,19
chrUn_NW_023329766v1,653
chrUn_NW_023329767v1,146
chrUn_NW_023329768v1,256
chrUn_NW_023329769v1,123
chrUn_NW_023329770v1,0
chrUn_NW_023329771v1,43
chrUn_NW_023329772v1,12
chrUn_NW_023329773v1,1545
chrX,501623
*,0
