Chromosome,SequenceCount
chr1,1206236
chr10,540825
chr11,476268
chr12,391935
chr13,401590
chr14,335266
chr15,405591
chr16,444324
chr17,486596
chr18,444447
chr19,285761
chr2,679587
chr20,510512
chr21,327383
chr22,342043
chr23,332184
chr24,428198
chr25,374048
chr26,408956
chr27,310930
chr28,371555
chr29,206700
chr3,755675
chr30,268112
chr31,226314
chr32,346035
chr33,170094
chr34,581101
chr35,183547
chr36,157134
chr37,233821
chr38,164079
chr4,585976
chr5,827130
chr6,1688070
chr7,591588
chr8,486885
chr9,628141
chrM,7312
chrUn_NW_023329667v1,0
chrUn_NW_023329668v1,1753
chrUn_NW_023329669v1,2
chrUn_NW_023329670v1,4085
chrUn_NW_023329671v1,0
chrUn_NW_023329672v1,2027
chrUn_NW_023329673v1,54
chrUn_NW_023329674v1,172
chrUn_NW_023329675v1,0
chrUn_NW_023329676v1,0
chrUn_NW_023329677v1,20
chrUn_NW_023329678v1,39
chrUn_NW_023329679v1,3
chrUn_NW_023329680v1,0
chrUn_NW_023329681v1,2
chrUn_NW_023329682v1,1095
chrUn_NW_023329683v1,2261
chrUn_NW_023329684v1,17
chrUn_NW_023329685v1,134
chrUn_NW_023329686v1,187
chrUn_NW_023329687v1,0
chrUn_NW_023329688v1,0
chrUn_NW_023329689v1,7
chrUn_NW_023329690v1,0
chrUn_NW_023329691v1,20
chrUn_NW_023329692v1,9
chrUn_NW_023329693v1,0
chrUn_NW_023329694v1,1114
chrUn_NW_023329695v1,27
chrUn_NW_023329696v1,24
chrUn_NW_023329697v1,2
chrUn_NW_023329698v1,20
chrUn_NW_023329699v1,1279
chrUn_NW_023329700v1,370
chrUn_NW_023329701v1,22904
chrUn_NW_023329702v1,0
chrUn_NW_023329703v1,697
chrUn_NW_023329704v1,4
chrUn_NW_023329705v1,0
chrUn_NW_023329706v1,0
chrUn_NW_023329707v1,0
chrUn_NW_023329708v1,8
chrUn_NW_023329709v1,23
chrUn_NW_023329710v1,0
chrUn_NW_023329711v1,46
chrUn_NW_023329712v1,0
chrUn_NW_023329713v1,1
chrUn_NW_023329714v1,0
chrUn_NW_023329715v1,25
chrUn_NW_023329716v1,44
chrUn_NW_023329717v1,0
chrUn_NW_023329718v1,129
chrUn_NW_023329719v1,105
chrUn_NW_023329720v1,1362
chrUn_NW_023329721v1,128
chrUn_NW_023329722v1,0
chrUn_NW_023329723v1,0
chrUn_NW_023329724v1,0
chrUn_NW_023329725v1,0
chrUn_NW_023329726v1,0
chrUn_NW_023329727v1,4533
chrUn_NW_023329728v1,5
chrUn_NW_023329729v1,70
chrUn_NW_023329730v1,0
chrUn_NW_023329731v1,0
chrUn_NW_023329732v1,2
chrUn_NW_023329733v1,0
chrUn_NW_023329734v1,0
chrUn_NW_023329735v1,846
chrUn_NW_023329736v1,377
chrUn_NW_023329737v1,677
chrUn_NW_023329738v1,66
chrUn_NW_023329739v1,418
chrUn_NW_023329740v1,0
chrUn_NW_023329741v1,13
chrUn_NW_023329742v1,188
chrUn_NW_023329743v1,0
chrUn_NW_023329744v1,0
chrUn_NW_023329745v1,4
chrUn_NW_023329746v1,54
chrUn_NW_023329747v1,0
chrUn_NW_023329748v1,24
chrUn_NW_023329749v1,137
chrUn_NW_023329750v1,14
chrUn_NW_023329751v1,13
chrUn_NW_023329752v1,17
chrUn_NW_023329753v1,54
chrUn_NW_023329754v1,0
chrUn_NW_023329755v1,2362
chrUn_NW_023329756v1,58
chrUn_NW_023329757v1,158
chrUn_NW_023329758v1,0
chrUn_NW_023329759v1,0
chrUn_NW_023329760v1,446
chrUn_NW_023329761v1,1
chrUn_NW_023329762v1,36
chrUn_NW_023329763v1,0
chrUn_NW_023329764v1,64
chrUn_NW_023329765v1,67
chrUn_NW_023329766v1,883
chrUn_NW_023329767v1,101
chrUn_NW_023329768v1,299
chrUn_NW_023329769v1,51
chrUn_NW_023329770v1,0
chrUn_NW_023329771v1,211
chrUn_NW_023329772v1,45
chrUn_NW_023329773v1,3913
chrX,741370
*,0
