Filename,SequenceCount
s_all_Anda_S8_default_canFam6_ChrM_MQ25_dedup.bam,25351
s_all_Cami_S9_default_canFam6_ChrM_MQ25_dedup.bam,10977
s_all_Charlie_S10_default_canFam6_ChrM_MQ25_dedup.bam,5768
s_all_Fritzy_S3_default_canFam6_ChrM_MQ25_dedup.bam,6091
s_all_Heidi_S4_default_canFam6_ChrM_MQ25_dedup.bam,19424
s_all_Lily_S2_default_canFam6_ChrM_MQ25_dedup.bam,5222
s_all_ThorA_S1_default_canFam6_ChrM_MQ25_dedup.bam,4807
s_all_ThorB_S7_default_canFam6_ChrM_MQ25_dedup.bam,14109
s_all_Undetermined_S0_tagged_default_canFam6_ChrM_MQ25_dedup.bam,14177
s_all_Urza_S6_default_canFam6_ChrM_MQ25_dedup.bam,4843
s_all_Vito_S5_default_canFam6_ChrM_MQ25_dedup.bam,14000
