Chromosome,SequenceCount
chr1,1709824
chr10,733404
chr11,665278
chr12,564306
chr13,556300
chr14,482016
chr15,580739
chr16,583609
chr17,662058
chr18,597329
chr19,409405
chr2,906881
chr20,677231
chr21,456183
chr22,490334
chr23,462604
chr24,562866
chr25,508579
chr26,528788
chr27,436924
chr28,494675
chr29,302812
chr3,1031819
chr30,376418
chr31,322616
chr32,456171
chr33,245408
chr34,734859
chr35,253304
chr36,228223
chr37,324540
chr38,226448
chr4,807519
chr5,1084695
chr6,2051358
chr7,865990
chr8,680734
chr9,805261
chrM,17065
chrUn_NW_023329667v1,0
chrUn_NW_023329668v1,2598
chrUn_NW_023329669v1,4
chrUn_NW_023329670v1,5681
chrUn_NW_023329671v1,0
chrUn_NW_023329672v1,3569
chrUn_NW_023329673v1,81
chrUn_NW_023329674v1,178
chrUn_NW_023329675v1,0
chrUn_NW_023329676v1,0
chrUn_NW_023329677v1,5
chrUn_NW_023329678v1,30
chrUn_NW_023329679v1,6
chrUn_NW_023329680v1,4
chrUn_NW_023329681v1,9
chrUn_NW_023329682v1,1438
chrUn_NW_023329683v1,2879
chrUn_NW_023329684v1,13
chrUn_NW_023329685v1,145
chrUn_NW_023329686v1,108
chrUn_NW_023329687v1,0
chrUn_NW_023329688v1,0
chrUn_NW_023329689v1,4
chrUn_NW_023329690v1,0
chrUn_NW_023329691v1,34
chrUn_NW_023329692v1,15
chrUn_NW_023329693v1,0
chrUn_NW_023329694v1,911
chrUn_NW_023329695v1,39
chrUn_NW_023329696v1,32
chrUn_NW_023329697v1,6
chrUn_NW_023329698v1,17
chrUn_NW_023329699v1,1496
chrUn_NW_023329700v1,130
chrUn_NW_023329701v1,24689
chrUn_NW_023329702v1,0
chrUn_NW_023329703v1,1112
chrUn_NW_023329704v1,19
chrUn_NW_023329705v1,0
chrUn_NW_023329706v1,0
chrUn_NW_023329707v1,0
chrUn_NW_023329708v1,22
chrUn_NW_023329709v1,14
chrUn_NW_023329710v1,0
chrUn_NW_023329711v1,41
chrUn_NW_023329712v1,0
chrUn_NW_023329713v1,0
chrUn_NW_023329714v1,2
chrUn_NW_023329715v1,39
chrUn_NW_023329716v1,19
chrUn_NW_023329717v1,0
chrUn_NW_023329718v1,141
chrUn_NW_023329719v1,133
chrUn_NW_023329720v1,1752
chrUn_NW_023329721v1,97
chrUn_NW_023329722v1,0
chrUn_NW_023329723v1,0
chrUn_NW_023329724v1,2
chrUn_NW_023329725v1,0
chrUn_NW_023329726v1,0
chrUn_NW_023329727v1,2968
chrUn_NW_023329728v1,10
chrUn_NW_023329729v1,81
chrUn_NW_023329730v1,0
chrUn_NW_023329731v1,0
chrUn_NW_023329732v1,1
chrUn_NW_023329733v1,0
chrUn_NW_023329734v1,4
chrUn_NW_023329735v1,1209
chrUn_NW_023329736v1,542
chrUn_NW_023329737v1,261
chrUn_NW_023329738v1,87
chrUn_NW_023329739v1,614
chrUn_NW_023329740v1,0
chrUn_NW_023329741v1,16
chrUn_NW_023329742v1,340
chrUn_NW_023329743v1,0
chrUn_NW_023329744v1,0
chrUn_NW_023329745v1,1
chrUn_NW_023329746v1,35
chrUn_NW_023329747v1,0
chrUn_NW_023329748v1,19
chrUn_NW_023329749v1,157
chrUn_NW_023329750v1,41
chrUn_NW_023329751v1,19
chrUn_NW_023329752v1,24
chrUn_NW_023329753v1,35
chrUn_NW_023329754v1,0
chrUn_NW_023329755v1,3136
chrUn_NW_023329756v1,66
chrUn_NW_023329757v1,126
chrUn_NW_023329758v1,0
chrUn_NW_023329759v1,0
chrUn_NW_023329760v1,456
chrUn_NW_023329761v1,0
chrUn_NW_023329762v1,45
chrUn_NW_023329763v1,1
chrUn_NW_023329764v1,48
chrUn_NW_023329765v1,57
chrUn_NW_023329766v1,1043
chrUn_NW_023329767v1,212
chrUn_NW_023329768v1,310
chrUn_NW_023329769v1,261
chrUn_NW_023329770v1,0
chrUn_NW_023329771v1,188
chrUn_NW_023329772v1,25
chrUn_NW_023329773v1,4446
chrX,592761
*,0
