Chromosome,SequenceCount
chr1,1382604
chr10,644032
chr11,582201
chr12,488616
chr13,490271
chr14,418563
chr15,499837
chr16,536438
chr17,582912
chr18,526944
chr19,358597
chr2,807939
chr20,598511
chr21,401052
chr22,435257
chr23,410481
chr24,501914
chr25,451832
chr26,481293
chr27,378980
chr28,448022
chr29,264262
chr3,916124
chr30,332181
chr31,281863
chr32,400986
chr33,215056
chr34,665225
chr35,228954
chr36,200466
chr37,289882
chr38,200572
chr4,711678
chr5,973242
chr6,1784749
chr7,740730
chr8,597573
chr9,724043
chrM,8308
chrUn_NW_023329667v1,0
chrUn_NW_023329668v1,1844
chrUn_NW_023329669v1,11
chrUn_NW_023329670v1,5069
chrUn_NW_023329671v1,0
chrUn_NW_023329672v1,3012
chrUn_NW_023329673v1,105
chrUn_NW_023329674v1,147
chrUn_NW_023329675v1,0
chrUn_NW_023329676v1,0
chrUn_NW_023329677v1,15
chrUn_NW_023329678v1,31
chrUn_NW_023329679v1,5
chrUn_NW_023329680v1,2
chrUn_NW_023329681v1,3
chrUn_NW_023329682v1,1277
chrUn_NW_023329683v1,2703
chrUn_NW_023329684v1,21
chrUn_NW_023329685v1,80
chrUn_NW_023329686v1,128
chrUn_NW_023329687v1,0
chrUn_NW_023329688v1,0
chrUn_NW_023329689v1,2
chrUn_NW_023329690v1,0
chrUn_NW_023329691v1,21
chrUn_NW_023329692v1,11
chrUn_NW_023329693v1,0
chrUn_NW_023329694v1,1120
chrUn_NW_023329695v1,25
chrUn_NW_023329696v1,46
chrUn_NW_023329697v1,4
chrUn_NW_023329698v1,25
chrUn_NW_023329699v1,1427
chrUn_NW_023329700v1,216
chrUn_NW_023329701v1,24912
chrUn_NW_023329702v1,0
chrUn_NW_023329703v1,1013
chrUn_NW_023329704v1,19
chrUn_NW_023329705v1,0
chrUn_NW_023329706v1,0
chrUn_NW_023329707v1,0
chrUn_NW_023329708v1,12
chrUn_NW_023329709v1,15
chrUn_NW_023329710v1,0
chrUn_NW_023329711v1,67
chrUn_NW_023329712v1,0
chrUn_NW_023329713v1,6
chrUn_NW_023329714v1,0
chrUn_NW_023329715v1,40
chrUn_NW_023329716v1,25
chrUn_NW_023329717v1,0
chrUn_NW_023329718v1,107
chrUn_NW_023329719v1,98
chrUn_NW_023329720v1,1894
chrUn_NW_023329721v1,58
chrUn_NW_023329722v1,0
chrUn_NW_023329723v1,0
chrUn_NW_023329724v1,5
chrUn_NW_023329725v1,0
chrUn_NW_023329726v1,0
chrUn_NW_023329727v1,4071
chrUn_NW_023329728v1,4
chrUn_NW_023329729v1,75
chrUn_NW_023329730v1,0
chrUn_NW_023329731v1,1
chrUn_NW_023329732v1,2
chrUn_NW_023329733v1,0
chrUn_NW_023329734v1,1
chrUn_NW_023329735v1,904
chrUn_NW_023329736v1,453
chrUn_NW_023329737v1,351
chrUn_NW_023329738v1,58
chrUn_NW_023329739v1,496
chrUn_NW_023329740v1,0
chrUn_NW_023329741v1,5
chrUn_NW_023329742v1,270
chrUn_NW_023329743v1,0
chrUn_NW_023329744v1,0
chrUn_NW_023329745v1,2
chrUn_NW_023329746v1,40
chrUn_NW_023329747v1,1
chrUn_NW_023329748v1,18
chrUn_NW_023329749v1,88
chrUn_NW_023329750v1,24
chrUn_NW_023329751v1,17
chrUn_NW_023329752v1,35
chrUn_NW_023329753v1,33
chrUn_NW_023329754v1,0
chrUn_NW_023329755v1,2931
chrUn_NW_023329756v1,42
chrUn_NW_023329757v1,181
chrUn_NW_023329758v1,0
chrUn_NW_023329759v1,0
chrUn_NW_023329760v1,468
chrUn_NW_023329761v1,0
chrUn_NW_023329762v1,38
chrUn_NW_023329763v1,0
chrUn_NW_023329764v1,47
chrUn_NW_023329765v1,84
chrUn_NW_023329766v1,963
chrUn_NW_023329767v1,224
chrUn_NW_023329768v1,363
chrUn_NW_023329769v1,183
chrUn_NW_023329770v1,0
chrUn_NW_023329771v1,150
chrUn_NW_023329772v1,35
chrUn_NW_023329773v1,4371
chrX,519118
*,0
