Chromosome,SequenceCount
chr1,1527660
chr10,671842
chr11,604436
chr12,505126
chr13,500970
chr14,428421
chr15,512989
chr16,539986
chr17,605989
chr18,540238
chr19,361333
chr2,837711
chr20,625664
chr21,410345
chr22,436086
chr23,421034
chr24,521039
chr25,462933
chr26,497327
chr27,391993
chr28,456646
chr29,267804
chr3,928245
chr30,341893
chr31,285576
chr32,383560
chr33,218187
chr34,632908
chr35,237548
chr36,203128
chr37,297713
chr38,204717
chr4,731046
chr5,1008532
chr6,1953137
chr7,764959
chr8,616412
chr9,743680
chrM,8104
chrUn_NW_023329667v1,0
chrUn_NW_023329668v1,2104
chrUn_NW_023329669v1,1
chrUn_NW_023329670v1,5208
chrUn_NW_023329671v1,0
chrUn_NW_023329672v1,3358
chrUn_NW_023329673v1,64
chrUn_NW_023329674v1,137
chrUn_NW_023329675v1,0
chrUn_NW_023329676v1,0
chrUn_NW_023329677v1,11
chrUn_NW_023329678v1,19
chrUn_NW_023329679v1,5
chrUn_NW_023329680v1,10
chrUn_NW_023329681v1,6
chrUn_NW_023329682v1,1149
chrUn_NW_023329683v1,2186
chrUn_NW_023329684v1,20
chrUn_NW_023329685v1,85
chrUn_NW_023329686v1,117
chrUn_NW_023329687v1,0
chrUn_NW_023329688v1,0
chrUn_NW_023329689v1,5
chrUn_NW_023329690v1,0
chrUn_NW_023329691v1,26
chrUn_NW_023329692v1,12
chrUn_NW_023329693v1,0
chrUn_NW_023329694v1,885
chrUn_NW_023329695v1,33
chrUn_NW_023329696v1,22
chrUn_NW_023329697v1,4
chrUn_NW_023329698v1,14
chrUn_NW_023329699v1,1393
chrUn_NW_023329700v1,246
chrUn_NW_023329701v1,17149
chrUn_NW_023329702v1,0
chrUn_NW_023329703v1,947
chrUn_NW_023329704v1,13
chrUn_NW_023329705v1,0
chrUn_NW_023329706v1,0
chrUn_NW_023329707v1,0
chrUn_NW_023329708v1,10
chrUn_NW_023329709v1,11
chrUn_NW_023329710v1,0
chrUn_NW_023329711v1,89
chrUn_NW_023329712v1,0
chrUn_NW_023329713v1,0
chrUn_NW_023329714v1,0
chrUn_NW_023329715v1,34
chrUn_NW_023329716v1,15
chrUn_NW_023329717v1,0
chrUn_NW_023329718v1,105
chrUn_NW_023329719v1,109
chrUn_NW_023329720v1,1585
chrUn_NW_023329721v1,78
chrUn_NW_023329722v1,0
chrUn_NW_023329723v1,0
chrUn_NW_023329724v1,5
chrUn_NW_023329725v1,0
chrUn_NW_023329726v1,0
chrUn_NW_023329727v1,3467
chrUn_NW_023329728v1,9
chrUn_NW_023329729v1,73
chrUn_NW_023329730v1,0
chrUn_NW_023329731v1,0
chrUn_NW_023329732v1,5
chrUn_NW_023329733v1,0
chrUn_NW_023329734v1,9
chrUn_NW_023329735v1,1239
chrUn_NW_023329736v1,438
chrUn_NW_023329737v1,381
chrUn_NW_023329738v1,64
chrUn_NW_023329739v1,531
chrUn_NW_023329740v1,0
chrUn_NW_023329741v1,30
chrUn_NW_023329742v1,289
chrUn_NW_023329743v1,0
chrUn_NW_023329744v1,0
chrUn_NW_023329745v1,2
chrUn_NW_023329746v1,64
chrUn_NW_023329747v1,0
chrUn_NW_023329748v1,15
chrUn_NW_023329749v1,119
chrUn_NW_023329750v1,20
chrUn_NW_023329751v1,23
chrUn_NW_023329752v1,16
chrUn_NW_023329753v1,50
chrUn_NW_023329754v1,0
chrUn_NW_023329755v1,2864
chrUn_NW_023329756v1,38
chrUn_NW_023329757v1,176
chrUn_NW_023329758v1,0
chrUn_NW_023329759v1,0
chrUn_NW_023329760v1,469
chrUn_NW_023329761v1,0
chrUn_NW_023329762v1,34
chrUn_NW_023329763v1,0
chrUn_NW_023329764v1,61
chrUn_NW_023329765v1,74
chrUn_NW_023329766v1,926
chrUn_NW_023329767v1,219
chrUn_NW_023329768v1,305
chrUn_NW_023329769v1,140
chrUn_NW_023329770v1,0
chrUn_NW_023329771v1,145
chrUn_NW_023329772v1,22
chrUn_NW_023329773v1,4089
chrX,926097
*,0
