Chromosome,SequenceCount
chr1,2175420
chr10,997246
chr11,915590
chr12,774789
chr13,759070
chr14,662053
chr15,784027
chr16,813035
chr17,904772
chr18,811666
chr19,564416
chr2,1246333
chr20,928467
chr21,628404
chr22,667320
chr23,641024
chr24,774512
chr25,696048
chr26,729847
chr27,590160
chr28,674490
chr29,419154
chr3,1401390
chr30,515271
chr31,438966
chr32,580051
chr33,337236
chr34,953745
chr35,352287
chr36,313440
chr37,551352
chr38,308090
chr4,1109083
chr5,1495654
chr6,2694961
chr7,1136168
chr8,927755
chr9,2400891
chrM,20460
chrUn_NW_023329667v1,0
chrUn_NW_023329668v1,2804
chrUn_NW_023329669v1,4
chrUn_NW_023329670v1,7845
chrUn_NW_023329671v1,0
chrUn_NW_023329672v1,4145
chrUn_NW_023329673v1,77
chrUn_NW_023329674v1,186
chrUn_NW_023329675v1,0
chrUn_NW_023329676v1,0
chrUn_NW_023329677v1,55
chrUn_NW_023329678v1,43
chrUn_NW_023329679v1,5
chrUn_NW_023329680v1,5
chrUn_NW_023329681v1,7
chrUn_NW_023329682v1,1680
chrUn_NW_023329683v1,3162
chrUn_NW_023329684v1,28
chrUn_NW_023329685v1,152
chrUn_NW_023329686v1,159
chrUn_NW_023329687v1,0
chrUn_NW_023329688v1,1
chrUn_NW_023329689v1,12
chrUn_NW_023329690v1,0
chrUn_NW_023329691v1,34
chrUn_NW_023329692v1,22
chrUn_NW_023329693v1,0
chrUn_NW_023329694v1,17205
chrUn_NW_023329695v1,33
chrUn_NW_023329696v1,41
chrUn_NW_023329697v1,4
chrUn_NW_023329698v1,32
chrUn_NW_023329699v1,1892
chrUn_NW_023329700v1,845
chrUn_NW_023329701v1,29075
chrUn_NW_023329702v1,0
chrUn_NW_023329703v1,2176
chrUn_NW_023329704v1,22
chrUn_NW_023329705v1,0
chrUn_NW_023329706v1,1
chrUn_NW_023329707v1,0
chrUn_NW_023329708v1,15
chrUn_NW_023329709v1,17
chrUn_NW_023329710v1,0
chrUn_NW_023329711v1,85
chrUn_NW_023329712v1,0
chrUn_NW_023329713v1,1
chrUn_NW_023329714v1,9
chrUn_NW_023329715v1,57
chrUn_NW_023329716v1,32
chrUn_NW_023329717v1,0
chrUn_NW_023329718v1,179
chrUn_NW_023329719v1,158
chrUn_NW_023329720v1,2451
chrUn_NW_023329721v1,122
chrUn_NW_023329722v1,0
chrUn_NW_023329723v1,0
chrUn_NW_023329724v1,11
chrUn_NW_023329725v1,0
chrUn_NW_023329726v1,0
chrUn_NW_023329727v1,51616
chrUn_NW_023329728v1,15
chrUn_NW_023329729v1,79
chrUn_NW_023329730v1,0
chrUn_NW_023329731v1,16
chrUn_NW_023329732v1,41
chrUn_NW_023329733v1,0
chrUn_NW_023329734v1,10
chrUn_NW_023329735v1,1526
chrUn_NW_023329736v1,570
chrUn_NW_023329737v1,1710
chrUn_NW_023329738v1,88
chrUn_NW_023329739v1,680
chrUn_NW_023329740v1,0
chrUn_NW_023329741v1,28
chrUn_NW_023329742v1,330
chrUn_NW_023329743v1,0
chrUn_NW_023329744v1,1
chrUn_NW_023329745v1,7
chrUn_NW_023329746v1,69
chrUn_NW_023329747v1,20
chrUn_NW_023329748v1,19
chrUn_NW_023329749v1,170
chrUn_NW_023329750v1,36
chrUn_NW_023329751v1,35
chrUn_NW_023329752v1,25
chrUn_NW_023329753v1,50
chrUn_NW_023329754v1,0
chrUn_NW_023329755v1,4090
chrUn_NW_023329756v1,80
chrUn_NW_023329757v1,218
chrUn_NW_023329758v1,0
chrUn_NW_023329759v1,0
chrUn_NW_023329760v1,693
chrUn_NW_023329761v1,131
chrUn_NW_023329762v1,58
chrUn_NW_023329763v1,0
chrUn_NW_023329764v1,99
chrUn_NW_023329765v1,105
chrUn_NW_023329766v1,1936
chrUn_NW_023329767v1,247
chrUn_NW_023329768v1,971
chrUn_NW_023329769v1,189
chrUn_NW_023329770v1,0
chrUn_NW_023329771v1,177
chrUn_NW_023329772v1,48
chrUn_NW_023329773v1,5432
chrX,1120000
*,0
